affordancesNo,affordancesYes,cocoAnnID,cocoImgID,objectHuman,objectUID
"wax,wheel,cry","slice,squeeze,bite",1557820,283070,orange,orange
"shovel,fill,rain","adjust,bite,eat",1558049,283070,orange,orange
"float,assemble,check","peel,squeeze,eat",1558627,283070,orange,orange
"eat,cheerlead,rain","poke,squeeze,place",1067226,283268,hot dog,hot_dog
"sign,rot,spoil","talk,sit,eat",1706978,283268,person,person
"ask,dive,inject","talk,walk,balloon",443736,283268,person,person
"drench,sing,fill","photograph,walk,admire",594701,284296,giraffe,giraffe
"braid,jump,lap","call,climb,check",600375,284296,giraffe,giraffe
"gather,chase,ram","photograph,videotape,admire",601011,284296,giraffe,giraffe
"pick,browse,mime","attack,wave,apply",2149574,284743,person,person
"bury,nail,perform","arrest,ask,block",2150096,284743,person,person
"shave,sketch,swim","call,talk,applaud",2150120,284743,person,person
"raft,attack,wad","call,talk,hit",2150477,284743,person,person
"clip,rid,repair","photograph,walk,socialize",438525,284743,person,person
"encourage,pout,spray","pick,swing,hit",627441,284743,baseball bat,baseball_bat
"teach,strap,swarm","autograph,beg,read",1650933,293474,book,book
"speak,board,shovel","pick,read,admire",2141510,293474,book,book
"peel,hoist,drop","buy,pick,read",2141707,293474,book,book
"spread,lean,butter","write,open,read",2142444,293474,book,book
"telephone,chew,cough","buy,ask,read",2144056,293474,book,book
"swarm,mime,sprout","aim,apply,admire",416471,293474,fire hydrant,fire_hydrant
"flex,walk,stir","bake,fling,eat",1072465,294831,pizza,pizza
"sing,whirl,build","work,type,adjust",1098004,294831,laptop,laptop
"celebrate,calm,call","balloon,eat,clean",1619256,294831,dining table,dining_table
"measure,clean,race","knock,drink,rinse",2183983,294831,cup,cup
"leap,glare,clear","talk,walk,sit",461239,294831,person,person
"mime,unveil,hunch","beg,bite,eat",1068304,29675,hot dog,hot_dog
"spy,buy,type","break,bite,eat",1069756,29675,hot dog,hot_dog
"collide,whirl,wink","cook,chew,eat",1069835,29675,hot dog,hot_dog
"sprinkle,hoe,weigh","sit,eat,clean",414836,29675,dining table,dining_table
"nuzzle,reassure,destroy","attack,bite,eat",1074621,306700,pizza,pizza
"fry,pedal,shake","stand,sit,eat",122984,306700,dining table,dining_table
"raft,sprint,butt","talk,smile,eat",183681,306700,person,person
"haul,fill,twist","slice,lick,eat",685769,306700,fork,fork
"pay,build,apprehend","slice,admire,eat",1072948,307172,pizza,pizza
"sting,shovel,moisturize","drink,sit,eat",391983,307172,dining table,dining_table
"wave,row,ignite","tune,feed,eat",485056,307172,person,person
"pump,press,boat","empty,drink,shake",672309,307172,cup,cup
"trip,shout,camp","tip,turn,wipe",714564,307172,bowl,bowl
"talk,complain,pin","pick,yank,check",1171421,30828,backpack,backpack
"mourn,staple,perform","drive,walk,clean",2042941,30828,car,car
"whisk,scrap,parachute","steer,pay,apply",418950,30828,parking meter,parking_meter
"frisk,brush,pedal","sign,walk,jog",461443,30828,person,person
"grind,plummet,cheer","sit,sleep,rest",574102,30828,bench,bench
"reassure,vacuum,descend","buckle,drive,sit",1342990,308531,car,car
"shush,bubble,mend","break,sit,rest",1813381,308531,bench,bench
"spray,shiver,pay","videotape,adjust,admire",336659,308531,clock,clock
"gasp,parachute,disembark","slip,stroke,attach",1170521,309467,backpack,backpack
"scrub,wring,interview","shrug,adjust,unload",1171312,309467,backpack,backpack
"punt,blossom,educate","ascend,attack,adjust",1849624,309467,skis,skis
"pot,uncork,scold","work,attach,put",2200838,309467,skis,skis
"examine,unplug,submerge","bet,ask,admire",448392,309467,person,person
"rain,pilot,compete","whistle,ski,arch",464186,309467,person,person
"deflect,study,plow","call,photograph,talk",1233457,31093,person,person
"burn,bandage,protest","pick,open,walk",1421746,31093,backpack,backpack
"wave,wrinkle,sow","skate,work,stand",1475365,31093,skateboard,skateboard
"dock,rock,complain","videotape,talk,wave",2157893,31093,person,person
"videotape,wipe,unload","whistle,applaud,admire",453234,31093,person,person
"splash,fling,rain","flip,arrest,jump",638282,31093,skateboard,skateboard
"soar,wag,wet","swarm,swim,row",1802046,312489,boat,boat
"kick,scoop,provide","board,talk,wave",449078,312489,person,person
"sprout,rear,craft","cheer,call,aim",482173,312489,person,person
"bury,queue,shred","wax,stand,jump",653512,312489,surfboard,surfboard
"train,sew,cart","arrange,admire,clean",1615836,318114,dining table,dining_table
"give,chase,whisk","spill,knock,drink",1881218,318114,cup,cup
"stoop,scold,punt","squeeze,bite,eat",1912165,318114,orange,orange
"exercise,stand,smash","slice,ask,bite",1929059,318114,cake,cake
"run,till,photograph","break,eat,clean",2217400,318114,bowl,bowl
"stoop,urinate,give","pick,scoop,eat",690530,318114,fork,fork
"twist,surf,flick","wipe,adjust,crush",1108536,319100,remote,remote
"douse,caress,plant","wipe,yank,assemble",1111776,319100,remote,remote
"frisk,pay,interrogate","stretch,sit,sleep",112242,319100,couch,couch
"help,signal,balloon","drink,push,throw",1483790,319100,bottle,bottle
"mine,glue,extinguish","cheer,applaud,laugh",205732,319100,person,person
"spread,buy,boat","cook,applaud,admire",210248,319100,person,person
"wrap,tickle,overflow","tune,strip,throw",29148,319100,tv,tv
"brew,salute,wash","storm,stand,eat",1084917,321214,cake,cake
"squeeze,aim,plummet","sit,pull,clean",2121063,321214,chair,chair
"phone,trim,rest","help,talk,smile",423941,321214,person,person
"block,hunch,skate","kiss,hug,sleep",1161811,321333,teddy bear,teddy_bear
"swoop,lick,recover","whistle,aim,hug",1249947,321333,person,person
"attack,drool,inflate","ascend,arch,ask",2159338,321333,person,person
"star,stretch,juggle","adjust,check,apply",1099821,32610,laptop,laptop
"dust,wrinkle,massage","ask,work,type",1103586,32610,laptop,laptop
"detain,rid,misbehave","wipe,work,attach",1103853,32610,laptop,laptop
"clip,kneel,sketch","bandage,fill,clean",1164885,32610,backpack,backpack
"boat,help,empty","attack,type,clean",1627046,32610,laptop,laptop
"eject,write,stack","lock,work,arrange",1627381,32610,laptop,laptop
"snow,scratch,nag","turn,ask,read",1970803,32610,laptop,laptop
"stampede,dive,plant","pack,yank,weigh",2073637,326128,backpack,backpack
"queue,stack,socialize","ask,applaud,admire",496288,326128,person,person
"grind,pilot,drink","cheer,pick,stand",619672,326128,snowboard,snowboard
"pinch,tune,cling","ask,talk,walk",1213713,333402,person,person
"tune,rid,rake","commute,ask,sit",1229341,333402,person,person
"spin,claw,knead","talk,film,carry",1635720,333402,cell phone,cell_phone
"stampede,ford,measure","walk,sit,catch",168137,333402,bus,bus
"dial,tie,lean","ask,walk,laugh",212801,333402,person,person
"guard,curl,unpack","pat,admire,brush",61806,340272,sheep,sheep
"crouch,chop,release","ask,shear,walk",63158,340272,sheep,sheep
"hang,jump,dial","catch,draw,admire",63250,340272,sheep,sheep
"shave,discuss,paint","ask,yank,carry",1179360,343496,handbag,handbag
"draw,pedal,rock","autograph,assemble,admire",2038750,343496,car,car
"count,exercise,sell","write,walk,run",270212,343496,stop sign,stop_sign
"mine,flame,inject","buckle,drive,wash",348435,343496,car,car
"shred,wink,stitch","lean,paint,walk",416765,343496,fire hydrant,fire_hydrant
"lift,attack,hoist","call,ask,walk",430355,343496,person,person
"gather,hug,crash","bow,applaud,admire",581487,346905,elephant,elephant
"type,panhandle,repair","photograph,crouch,feed",584349,346905,elephant,elephant
"farm,gasp,open","walk,pat,admire",585924,346905,elephant,elephant
"sing,whip,lick","complain,call,walk",1289668,348881,person,person
"wash,serve,slouch","buckle,board,admire",1363961,348881,airplane,airplane
"whirl,stretch,handcuff","ascend,ask,carry",1445296,348881,suitcase,suitcase
"unplug,fall,lather","talk,walk,race",185744,348881,person,person
"browse,wilt,erupt","ascend,walk,sit",247475,348881,airplane,airplane
"boat,immerse,wheel","tip,microwave,eat",1531561,350388,bowl,bowl
"photograph,offer,smell","stir,ask,eat",1915460,350388,broccoli,broccoli
"tickle,coach,drool","spear,scoop,eat",1916173,350388,broccoli,broccoli
"rock,curl,scrub","fish,scoop,eat",1916215,350388,broccoli,broccoli
"shout,draw,eject","scoop,bite,eat",1916266,350388,broccoli,broccoli
"buckle,photograph,read","ski,call,arrange",1237614,350405,person,person
"bow,whip,prowl","whistle,weep,admire",2151509,350405,person,person
"tug,immerse,coach","wax,fall,wash",619147,350405,snowboard,snowboard
"harvest,unload,paste","walk,adjust,clean",314181,355257,bed,bed
"bounce,din,educate","wait,bake,rehabilitate",501301,355257,person,person
"stampede,immerse,smash","hang,apply,carry",92491,355257,bottle,bottle
"unveil,mow,wilt","walk,run,admire",169148,355817,bus,bus
"manicure,butter,pray","ask,talk,sit",1745306,355817,person,person
"trim,cram,turn","call,wave,walk",188530,355817,person,person
"chisel,bite,water","bake,cook,eat",1539342,356347,bowl,bowl
"stuff,snow,prick","fill,fish,clean",701707,356347,spoon,spoon
"suck,throw,trip","fill,wash,eat",713208,356347,bowl,bowl
"giggle,surf,cheerlead","apprehend,sit,balloon",151246,363875,motorcycle,motorcycle
"turn,dance,embrace","drive,wave,walk",189840,363875,person,person
"brush,plant,twirl","call,aim,sit",2049615,363875,bus,bus
"balloon,spear,race","wipe,wash,rinse",1643705,365385,sink,sink
"kneel,erupt,sign","drink,walk,put",1878454,365385,cup,cup
"mop,feed,lock","brush,rinse,clean",1997750,365385,toothbrush,toothbrush
"grin,count,curl","wash,brush,rinse",1998136,365385,toothbrush,toothbrush
"star,ail,descend","drink,apply,clean",2215046,365385,cup,cup
"pat,hitchhike,strip","wipe,wash,brush",341819,365385,toothbrush,toothbrush
"discuss,flame,spray","turn,wipe,cook",1120963,365766,microwave,microwave
"hunt,interrogate,shovel","turn,cook,clean",1124124,365766,oven,oven
"strip,strike,pat","fill,wash,clean",1133664,365766,sink,sink
"pat,tug,arch","squeeze,bite,eat",1051783,369370,orange,orange
"bounce,shovel,repair","squeeze,balloon,eat",1556608,369370,orange,orange
"package,ascend,drip","clear,eat,clean",1617339,369370,dining table,dining_table
"congregate,manicure,guard","pick,bite,eat",309938,369370,sandwich,sandwich
"smash,chisel,spread","bite,throw,eat",312268,369370,sandwich,sandwich
"floss,light,fetch","bite,throw,eat",312956,369370,sandwich,sandwich
"strip,rid,tie","complain,taste,put",313304,369370,sandwich,sandwich
"shave,strike,tip","applaud,hang,adjust",14418,369541,dog,dog
"preach,scold,swoop","call,walk,carry",1718078,369541,person,person
"spray,bake,destroy","pick,catch,throw",1844816,369541,frisbee,frisbee
"crest,sing,congregate","wink,trip,communicate",191574,369541,person,person
"lift,pedal,crouch","ask,wave,jog",198600,369541,person,person
"intermingle,bathe,press","ask,talk,walk",2022484,369541,person,person
"butter,douse,wilt","talk,walk,sit",2152632,369541,person,person
"recover,caress,applaud","wipe,race,jog",125303,370208,bicycle,bicycle
"craft,stroke,spank","aim,walk,run",1268441,370208,person,person
"bet,throw,stoop","pay,tip,walk",1389866,370208,parking meter,parking_meter
"skip,unlock,light","break,tear,adjust",1810226,370208,parking meter,parking_meter
"feed,peel,launch","wipe,ask,clean",1136682,376310,sink,sink
"dial,gamble,congregate","adjust,wash,clean",1136803,376310,sink,sink
"taste,launch,drool","turn,wash,clean",1136844,376310,sink,sink
"press,poke,snuggle","urinate,sit,clean",2133633,376310,toilet,toilet
"carve,bake,light","skate,wave,hang",1238243,377635,person,person
"buy,detain,pray","arch,call,speak",1246027,377635,person,person
"lecture,wave,type","call,ask,walk",1266647,377635,person,person
"clean,vault,eat","cheer,applaud,admire",2154581,377635,person,person
"chisel,score,insert","flip,jump,fall",637730,377635,skateboard,skateboard
"prune,immerse,snow","skate,jump,fall",638192,377635,skateboard,skateboard
"shred,tug,turn","drool,pick,eat",1080787,377814,donut,donut
"run,butter,lace","drool,taste,eat",1081335,377814,donut,donut
"speak,rub,unpack","admire,bite,eat",1082054,377814,donut,donut
"lather,hang,educate","apprehend,lick,eat",1082146,377814,donut,donut
"type,stretch,bounce","pick,bite,eat",2118211,377814,donut,donut
"burn,snow,build","taste,lick,eat",2118860,377814,donut,donut
"crest,work,spit","bubble,brush,clean",1133558,383443,sink,sink
"mine,turn,count","adjust,wash,clean",1134288,383443,sink,sink
"pitch,autograph,rake","pick,aim,press",1630335,383443,remote,remote
"tip,crash,wring","turn,carry,clean",34111,383443,tv,tv
"retrieve,baptize,skid","swoop,bounce,ask",1854505,384670,sports ball,sports_ball
"scold,chop,frisk","attack,check,assemble",487266,384670,person,person
"type,land,examine","call,talk,applaud",490428,384670,person,person
"weld,plunge,wet","work,swing,yank",655160,384670,tennis racket,tennis_racket
"coach,disembark,sell","talk,walk,admire",1203415,385190,person,person
"repair,wring,sprinkle","complain,ask,admire",370933,385190,bottle,bottle
"commute,carry,taxi","turn,wait,race",408176,385190,traffic light,traffic_light
"knead,glare,blossom","call,ask,walk",459373,385190,person,person
"strip,punt,fling","write,walk,admire",475568,385190,person,person
"spank,pitch,pin","ail,wipe,walk",1456436,393469,snowboard,snowboard
"lecture,cover,raft","waddle,call,camp",421984,393469,person,person
"stand,march,stumble","photograph,pick,help",466687,393469,person,person
"submerge,smile,dust","autograph,adjust,attach",619689,393469,snowboard,snowboard
"douse,garden,exercise","slice,bite,eat",1073032,402433,pizza,pizza
"call,wet,massage","pick,bite,eat",1073961,402433,pizza,pizza
"reassure,wink,baptize","slice,yank,admire",2047515,402433,motorcycle,motorcycle
"wash,bathe,calm","ask,sleep,carry",1995194,404484,teddy bear,teddy_bear
"gamble,punt,bathe","water,adjust,admire",23289,404484,potted plant,potted_plant
"lap,wheel,carry","spy,talk,socialize",253673,404484,person,person
"spank,parade,plant","break,walk,fix",33612,404484,tv,tv
"skip,plummet,scoop","whistle,call,admire",7981,404484,dog,dog
"plow,garden,block","run,balloon,throw",1717393,404923,person,person
"sting,paste,smear","ask,applaud,walk",1722211,404923,person,person
"poop,call,embrace","complain,browse,admire",1757003,404923,person,person
"chop,practice,shoot","wink,stretch,admire",461736,404923,person,person
"write,preach,slouch","break,swing,hit",631084,404923,baseball bat,baseball_bat
"balloon,twirl,vote","yank,adjust,scoop",296589,406417,tie,tie
"stampede,pee,sow","arrest,arrange,adjust",298298,406417,tie,tie
"talk,soak,grin","break,attack,pull",299243,406417,tie,tie
"rinse,camouflage,fix","encourage,photograph,admire",478879,406417,person,person
"flex,chew,float","cheer,arrest,applaud",508136,406417,person,person
"commute,ignite,distribute","photograph,aim,applaud",513983,406417,person,person
"mop,smell,offer","wipe,empty,check",1532739,407825,bowl,bowl
"flap,display,hang","water,arrange,admire",1605524,407825,potted plant,potted_plant
"chew,rehabilitate,descend","poke,walk,admire",1815242,407825,bird,bird
"arrest,fold,punch","pick,adjust,check",2111404,407825,apple,apple
"fetch,mine,giggle","attack,adjust,check",341578,407825,clock,clock
"race,build,storm","sit,lift,clean",1095844,408696,toilet,toilet
"forage,hunt,pay","talk,applaud,drink",1245345,408696,person,person
"cover,butt,caress","call,ask,walk",1255174,408696,person,person
"throw,retrieve,protest","complain,walk,laugh",453999,408696,person,person
"discipline,flick,prowl","bandage,ask,talk",467239,408696,person,person
"discipline,pour,pounce","slouch,lean,stack",103573,415741,chair,chair
"pilot,yank,baptize","tip,sit,clean",107242,415741,chair,chair
"bury,ford,exercise","pick,read,study",1648235,415741,book,book
"raft,stitch,shred","pick,open,read",1648882,415741,book,book
"land,beg,dance","open,read,lift",1651055,415741,book,book
"tear,chew,curl","bounce,jump,adjust",315201,415741,bed,bed
"open,scratch,smile","call,ask,wave",1217529,422706,person,person
"emerge,unlock,push","knock,ask,walk",1436142,422706,handbag,handbag
"fling,dock,dip","ascend,swim,adjust",175488,422706,boat,boat
"drool,distract,educate","lean,talk,stand",203282,422706,person,person
"slide,steer,press","cheer,ask,brush",208369,422706,person,person
"sit,instal,lift","lean,stand,walk",216026,422706,person,person
"break,telephone,eat","ask,drink,clean",1504681,423506,cup,cup
"whisk,fix,board","call,break,laugh",1730374,423506,person,person
"juggle,soak,inject","ask,adjust,admire",1840333,423506,tie,tie
"prick,pounce,operate","adjust,tug,admire",295598,423506,tie,tie
"gather,pour,clip","work,write,adjust",486348,423506,person,person
"clear,calm,pout","bake,cook,bite",1047492,424721,apple,apple
"repair,yawn,pour","bake,cook,chew",1062864,424721,carrot,carrot
"din,weed,wag","peel,slice,bite",1064205,424721,carrot,carrot
"nuzzle,microwave,branch","admire,bite,eat",1064672,424721,carrot,carrot
"place,build,whirl","bake,pick,trim",1064882,424721,carrot,carrot
"crash,extinguish,educate","butter,cook,balloon",1548810,424721,apple,apple
"bandage,drop,sleep","wipe,sit,assemble",1936075,424721,chair,chair
"rub,braid,shred","browse,work,brush",1104020,427034,laptop,laptop
"attack,sell,strip","ask,admire,clean",1666019,427034,clock,clock
"ram,ascend,dance","ask,talk,hang",191162,427034,person,person
"land,fill,imitate","glare,smile,pat",2066936,427034,dog,dog
"browse,intermingle,jog","pat,feed,admire",5437,427034,dog,dog
"taxi,inject,gasp","balloon,admire,clean",1993776,429530,vase,vase
"crash,detain,smell","fill,arrange,admire",1994143,429530,vase,vase
"wax,sting,recuperate","fill,ask,clean",1994241,429530,vase,vase
"whisk,cheer,put","tip,pour,admire",1994424,429530,vase,vase
"immerse,feed,guard","write,type,adjust",1117016,430056,keyboard,keyboard
"glare,stand,recover","adjust,bite,eat",2187216,430056,sandwich,sandwich
"dye,mop,uncork","mow,bite,eat",313706,430056,sandwich,sandwich
"bake,vault,wet","photograph,walk,check",1409781,433374,elephant,elephant
"browse,haul,clench","photograph,assemble,admire",580263,433374,elephant,elephant
"release,tow,pee","ascend,photograph,climb",580412,433374,elephant,elephant
"sweep,erase,squint","pat,feed,admire",581467,433374,elephant,elephant
"autograph,crawl,communicate","photograph,admire,pull",581992,433374,elephant,elephant
"burn,claw,wilt","ask,photograph,admire",582184,433374,elephant,elephant
"nag,write,plummet","bite,chew,eat",1071318,434479,pizza,pizza
"inflate,paint,launch","arch,bite,throw",1074741,434479,pizza,pizza
"pounce,inject,comb","wipe,sit,scrub",1614689,434479,dining table,dining_table
"buy,repair,fuel","apprehend,applaud,sit",1937747,434479,chair,chair
"flex,bet,bounce","sit,admire,eat",1619396,438226,dining table,dining_table
"stroke,spy,drag","pick,bite,eat",2221530,438226,hot dog,hot_dog
"garden,sprint,caress","pick,bite,eat",309094,438226,sandwich,sandwich
"chase,restrain,retrieve","pick,examine,eat",309693,438226,sandwich,sandwich
"fall,color,uncork","spill,drink,pour",662573,438226,wine glass,wine_glass
"row,count,nail","aim,adjust,eat",690825,438226,fork,fork
"intermingle,spy,scrap","applaud,apply,admire",438061,44195,person,person
"unload,vote,bounce","ski,ask,admire",464298,44195,person,person
"block,interrogate,record","wipe,stand,race",618057,44195,snowboard,snowboard
"flip,row,count","fall,sit,clean",1094300,446574,toilet,toilet
"urinate,apprehend,pout","ask,pick,arrange",1868619,446574,bottle,bottle
"pedal,wipe,buy","uncork,wash,rinse",80087,446574,bottle,bottle
"smile,mime,soak","whistle,cheer,applaud",1225920,447187,person,person
"perspire,sting,wave","ascend,arrest,ask",1470763,447187,baseball glove,baseball_glove
"carry,tune,boat","hit,catch,throw",301594,447187,sports ball,sports_ball
"whisk,farm,brush","call,aim,hit",448505,447187,person,person
"browse,say,flame","walk,attach,balloon",498458,447187,person,person
"land,talk,prune","tackle,applaud,admire",541792,447187,person,person
"exercise,duck,pounce","hit,carry,throw",632724,447187,baseball bat,baseball_bat
"hitchhike,prowl,gather","storm,smash,drink",1873558,450202,wine glass,wine_glass
"poke,tackle,cram","prick,eat,clean",2102152,450202,fork,fork
"instal,pray,kick","sit,eat,clean",392713,450202,dining table,dining_table
"lean,pour,smile","talk,applaud,wave",425365,450202,person,person
"cheerlead,ford,spread","turn,stand,tug",464082,450202,person,person
"storm,punt,dock","drink,sit,smell",661799,450202,wine glass,wine_glass
"lace,strike,distract","break,drink,wash",663443,450202,wine glass,wine_glass
"baptize,turn,crush","board,walk,sit",165647,452321,bus,bus
"unlock,wad,haul","wait,drive,walk",166153,452321,bus,bus
"lift,paste,break","board,walk,check",1794029,452321,bus,bus
"package,instruct,paste","drive,climb,check",248552,452321,bus,bus
"fall,bet,sell","bake,adjust,clean",1128623,453302,toaster,toaster
"trip,dock,flap","empty,wash,clean",1133458,453302,sink,sink
"pitch,fetch,imitate","walk,sit,push",1590221,453302,chair,chair
"unload,immerse,mourn","turn,cook,clean",1978587,453302,microwave,microwave
"decompose,dance,congregate","turn,cook,open",1979154,453302,microwave,microwave
"grin,gamble,poop","wipe,open,clean",332751,453302,refrigerator,refrigerator
"sprint,autograph,poop","drink,adjust,rinse",80342,453302,bottle,bottle
"light,lead,manicure","lean,stand,sit",1930413,453584,chair,chair
"unplug,jump,hit","slide,photograph,sit",1942853,453584,chair,chair
"break,crush,rock","wipe,work,sit",1947531,453584,chair,chair
"forage,nip,sprout","adjust,sit,rinse",1948038,453584,chair,chair
"flex,protest,stir","sit,apply,lift",1948432,453584,chair,chair
"press,heave,soak","sit,lift,clean",2223445,453584,chair,chair
"race,ram,congregate","stretch,sit,sleep",572535,453584,bench,bench
"wheel,wash,fold","peel,pick,eat",1051276,45472,orange,orange
"clip,drive,poop","drink,lift,clean",683905,45472,cup,cup
"rehabilitate,rid,gamble","break,pick,drink",684810,45472,cup,cup
"unplug,perspire,bubble","drink,wash,clean",684903,45472,cup,cup
"boat,pot,repair","drink,walk,clean",684935,45472,cup,cup
"pay,scoop,plunge","spill,stand,drink",685083,45472,cup,cup
"confront,queue,overflow","break,drive,adjust",270041,460229,stop sign,stop_sign
"hug,buckle,arrest","ascend,walk,admire",397553,460229,truck,truck
"pilot,immerse,curl","wipe,yank,drive",402562,460229,traffic light,traffic_light
"jog,extinguish,shear","drive,race,check",407291,460229,traffic light,traffic_light
"paw,autograph,yawn","ask,drive,admire",1191608,464824,car,car
"subdue,slap,handcuff","turn,open,sit",1388324,464824,fire hydrant,fire_hydrant
"stand,release,spy","ask,help,lean",2161842,464824,person,person
"immerse,spread,till","call,sleep,carry",210511,469067,person,person
"inject,urinate,pot","turn,pick,lift",2136215,469067,remote,remote
"work,distribute,cough","stumble,walk,sleep",319289,469067,bed,bed
"moisten,sketch,light","turn,break,adjust",329572,469067,cell phone,cell_phone
"slither,unveil,mend","snuggle,admire,brush",49461,469067,cat,cat
"write,microwave,lean","bandage,cry,run",586443,471450,bear,bear
"hitchhike,scrap,wipe","photograph,run,admire",588013,471450,bear,bear
"poke,salute,unplug","run,adjust,admire",588031,471450,bear,bear
"snow,handcuff,swim","walk,pedal,sit",125429,473118,bicycle,bicycle
"serve,tug,restrain","cheer,photograph,applaud",200685,473118,person,person
"kneel,fasten,shave","work,jump,fall",639656,473118,skateboard,skateboard
"shrug,flick,inflate","recuperate,snuggle,sit",114818,473821,couch,couch
"drive,strap,ski","read,sit,admire",381674,473821,chair,chair
"browse,fetch,pout","arrange,vacuum,sit",385417,473821,chair,chair
"crown,star,smile","arrange,tilt,admire",712802,473821,bowl,bowl
"open,panhandle,descend","curl,snuggle,hug",1161167,474039,teddy bear,teddy_bear
"pray,farm,serve","pick,squeeze,hug",1162628,474039,teddy bear,teddy_bear
"stack,push,tattoo","spank,kiss,lift",466727,474039,person,person
"pucker,wait,plant","buckle,applaud,sit",183778,47571,person,person
"poop,rinse,lick","whistle,whip,adjust",202909,47571,person,person
"dial,plow,misbehave","call,walk,admire",54280,47571,horse,horse
"phone,seal,pry","cheer,talk,wave",1269043,47740,person,person
"pay,tear,eject","applaud,race,admire",1707009,47740,person,person
"release,socialize,study","call,communicate,hang",489230,47740,person,person
"squeeze,film,write","help,talk,admire",490497,47740,person,person
"film,stumble,rub","aim,run,examine",621404,47740,kite,kite
"carry,chop,waddle","walk,run,throw",623521,47740,kite,kite
"shiver,strike,detain","yank,walk,carry",1185808,47819,suitcase,suitcase
"draw,pitch,urinate","unpack,pack,carry",1443941,47819,suitcase,suitcase
"clench,punch,push","speak,walk,adjust",1727464,47819,person,person
"disembark,spoil,whisk","talk,stroke,walk",54378,47819,horse,horse
"fold,load,launch","call,attack,wave",1218260,488251,person,person
"handcuff,grieve,subdue","ask,aim,drive",1348356,488251,car,car
"poop,frown,emerge","drive,climb,clean",1349489,488251,car,car
"drop,crown,shell","sit,load,eat",1364929,488251,bus,bus
"interrogate,slip,autograph","photograph,speak,applaud",183598,488251,person,person
"film,spill,caress","photograph,pat,brush",57829,488251,horse,horse
"haul,throw,ask","swim,surf,admire",10122,490171,dog,dog
"hunt,soar,manicure","swim,train,talk",203146,490171,person,person
"bet,cheer,communicate","swim,stand,surf",647796,490171,surfboard,surfboard
"sneeze,ram,talk","arch,admire,fix",155826,491090,motorcycle,motorcycle
"bite,curl,stumble","buy,ask,drive",155859,491090,motorcycle,motorcycle
"stitch,push,dry","drive,race,repair",1790929,491090,motorcycle,motorcycle
"peel,perspire,swoop","wipe,sit,admire",1792471,491090,motorcycle,motorcycle
"stampede,decorate,misbehave","sell,race,sit",2047646,491090,motorcycle,motorcycle
"twist,disembark,laugh","photograph,talk,walk",220590,491090,person,person
"cling,educate,wring","ask,write,type",1117367,492905,keyboard,keyboard
"unload,giggle,pour","slide,work,press",1628719,492905,mouse,mouse
"educate,study,eject","ask,check,admire",32067,492905,tv,tv
"balloon,cram,prick","tune,wave,run",172226,492937,train,train
"spoil,emerge,rid","call,ask,bike",198827,492937,person,person
"fetch,jump,interview","ask,sit,admire",2168379,492937,bicycle,bicycle
"clear,dip,dust","turn,ask,type",1100951,497344,laptop,laptop
"wring,knock,kneel","fill,pick,clean",1484151,497344,bottle,bottle
"mourn,board,bet","call,ask,adjust",324057,497344,cell phone,cell_phone
"exercise,type,ski","snuggle,talk,smile",516513,497344,person,person
"pat,assemble,scoop","stand,sit,sleep",1813526,49810,bench,bench
"spy,dry,fasten","pat,feed,admire",52987,49810,cat,cat
"unload,fill,sneeze","arch,pick,pat",53064,49810,cat,cat
"smear,carry,perspire","turn,wash,clean",1131499,500464,sink,sink
"laugh,scoop,help","turn,pick,assemble",1675983,500464,hair drier,hair_drier
"skip,coach,sting","ail,pick,clean",1997942,500464,toothbrush,toothbrush
"peel,pout,pucker","write,rinse,clean",343009,500464,toothbrush,toothbrush
"prick,splash,whip","empty,pick,squeeze",82291,500464,bottle,bottle
"vacuum,parade,distract","drive,walk,run",1198913,501023,traffic light,traffic_light
"stampede,dial,carry","spy,check,admire",2060524,501023,stop sign,stop_sign
"whip,rake,mend","drive,walk,jog",270108,501023,stop sign,stop_sign
"haul,steer,duck","call,photograph,admire",589371,501243,zebra,zebra
"seal,grieve,wilt","photograph,feed,admire",590427,501243,zebra,zebra
"dive,jog,sit","photograph,walk,admire",591924,501243,zebra,zebra
"kneel,shelve,photograph","pour,rinse,throw",1491205,501368,bottle,bottle
"yank,grill,record","attack,open,wash",1491666,501368,bottle,bottle
"butt,work,launch","turn,adjust,clean",2197655,501368,hair drier,hair_drier
"work,photograph,catch","ask,dry,scrub",447307,501368,person,person
"fasten,prune,put","wipe,wash,rinse",1130658,501523,sink,sink
"prick,mend,soak","pick,shake,adjust",1865077,501523,bottle,bottle
"construct,mow,pray","whisk,shake,push",46767,501523,cat,cat
"slap,frown,photograph","aim,drink,pour",668384,501523,cup,cup
"wring,pee,arch","arrest,fill,knock",79571,501523,bottle,bottle
"ail,stumble,adjust","pinch,water,eat",1559974,50331,broccoli,broccoli
"photograph,flip,craft","pick,rinse,eat",1560842,50331,broccoli,broccoli
"release,put,yank","ask,water,trim",1605565,50331,potted plant,potted_plant
"check,fuel,paint","tip,water,salute",1608448,50331,potted plant,potted_plant
"pay,hoe,pitch","spy,hang,hug",1243067,512836,person,person
"buckle,boat,tattoo","talk,walk,brush",13802,512836,dog,dog
"spy,arrest,sprint","strap,open,carry",1436145,512836,handbag,handbag
"shake,hike,swim","pick,feed,admire",17235,512836,dog,dog
"sell,detain,dye","open,assemble,carry",1835295,512836,handbag,handbag
